Alert ID,Ticker,Description,Time
255839817,"BINANCE:DOGEPERP, 15m",ticker:DOGEPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.324712;time:2021-08-21T17:15:00Z,2021-08-21T17:30:01.000Z
255847432,"BINANCE:HBARUSDTPERP, 15m",ticker:HBARUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.25032;time:2021-08-21T17:15:00Z,2021-08-21T17:30:00.000Z
255845397,"BINANCE:BAKEUSDTPERP, 15m",ticker:BAKEUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:2.6527;time:2021-08-21T17:00:00Z,2021-08-21T17:15:02.000Z
255855252,"BINANCE:CHRUSDTPERP, 15m",ticker:CHRUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.4154;time:2021-08-21T17:00:00Z,2021-08-21T17:15:00.000Z
255848148,"BINANCE:HOTUSDTPERP, 15m",ticker:HOTUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.011137;time:2021-08-21T16:45:00Z,2021-08-21T17:00:02.000Z
255843372,"BINANCE:1000SHIBUSDTPERP, 15m",ticker:1000SHIBUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.008369;time:2021-08-21T16:45:00Z,2021-08-21T17:00:01.000Z
255847597,"BINANCE:GRTUSDTPERP, 15m",ticker:GRTUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:1.03914;time:2021-08-21T16:30:00Z,2021-08-21T16:45:01.000Z
255844163,"BINANCE:UNIUSDTPERP, 15m",ticker:UNIUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:29.448;time:2021-08-21T16:30:00Z,2021-08-21T16:45:00.000Z
255839932,"BINANCE:ETCPERP, 15m",ticker:ETCPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:68.91;time:2021-08-21T16:00:00Z,2021-08-21T16:15:01.000Z
255848529,"BINANCE:SXPUSDTPERP, 15m",ticker:SXPUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:3.704;time:2021-08-21T16:00:00Z,2021-08-21T16:15:00.000Z
255849557,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:2.268;time:2021-08-21T16:00:00Z,2021-08-21T16:15:00.000Z
255854760,"BINANCE:CELRUSDTPERP, 15m",ticker:CELRUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.04683;time:2021-08-21T15:30:00Z,2021-08-21T15:45:00.000Z
255839932,"BINANCE:ETCPERP, 15m",ticker:ETCPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:68.006;time:2021-08-21T14:30:00Z,2021-08-21T14:45:02.000Z
255854623,"BINANCE:1INCHUSDTPERP, 15m",ticker:1INCHUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:3.4111;time:2021-08-21T14:30:00Z,2021-08-21T14:45:00.000Z
255854623,"BINANCE:1INCHUSDTPERP, 15m",ticker:1INCHUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:3.5185;time:2021-08-21T13:30:00Z,2021-08-21T13:45:01.000Z
255854345,"BINANCE:FTMUSDTPERP, 15m",ticker:FTMUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:0.51896;time:2021-08-21T13:30:00Z,2021-08-21T13:45:01.000Z
255839932,"BINANCE:ETCPERP, 15m",ticker:ETCPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:69.262;time:2021-08-21T12:45:00Z,2021-08-21T13:00:01.000Z
255841723,"BINANCE:WAVESUSDTPERP, 15m",ticker:WAVESUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:26.281;time:2021-08-21T12:30:00Z,2021-08-21T12:45:01.000Z
255847793,"BINANCE:XTZUSDTPERP, 15m",ticker:XTZUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:3.763;time:2021-08-21T12:30:00Z,2021-08-21T12:45:00.000Z
255855617,"BINANCE:STORJUSDTPERP, 15m",ticker:STORJUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:1.327;time:2021-08-21T12:00:00Z,2021-08-21T12:15:01.000Z
255847793,"BINANCE:XTZUSDTPERP, 15m",ticker:XTZUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:3.631;time:2021-08-21T11:15:00Z,2021-08-21T11:30:02.000Z
255843219,"BINANCE:TRXPERP, 15m",ticker:TRXPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.08786;time:2021-08-21T11:15:00Z,2021-08-21T11:30:02.000Z
255841448,"BINANCE:LTCPERP, 15m",ticker:LTCPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:178.47;time:2021-08-21T11:15:00Z,2021-08-21T11:30:01.000Z
255842013,"BINANCE:BCHPERP, 15m",ticker:BCHPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:676.62;time:2021-08-21T11:15:00Z,2021-08-21T11:30:01.000Z
255854623,"BINANCE:1INCHUSDTPERP, 15m",ticker:1INCHUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:3.4113;time:2021-08-21T11:15:00Z,2021-08-21T11:30:00.000Z
255848148,"BINANCE:HOTUSDTPERP, 15m",ticker:HOTUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.01097;time:2021-08-21T11:00:00Z,2021-08-21T11:15:02.000Z
255855617,"BINANCE:STORJUSDTPERP, 15m",ticker:STORJUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:1.2746;time:2021-08-21T11:00:00Z,2021-08-21T11:15:01.000Z
255842397,"BINANCE:XLMPERP, 15m",ticker:XLMPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.37129;time:2021-08-21T11:00:00Z,2021-08-21T11:15:01.000Z
255842221,"BINANCE:LINKPERP, 15m",ticker:LINKPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:28.236;time:2021-08-21T11:00:00Z,2021-08-21T11:15:01.000Z
255848671,"BINANCE:RVNUSDTPERP, 15m",ticker:RVNUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.13841;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255839612,"BINANCE:XRPPERP, 15m",ticker:XRPPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:1.2297;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255845155,"BINANCE:AAVEUSDTPERP, 15m",ticker:AAVEUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:404.85;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255854760,"BINANCE:CELRUSDTPERP, 15m",ticker:CELRUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.04472;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255839932,"BINANCE:ETCPERP, 15m",ticker:ETCPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:67.619;time:2021-08-21T11:00:00Z,2021-08-21T11:15:01.000Z
255843100,"BINANCE:VETUSDTPERP, 15m",ticker:VETUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.13034;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255839817,"BINANCE:DOGEPERP, 15m",ticker:DOGEPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.31797;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255848529,"BINANCE:SXPUSDTPERP, 15m",ticker:SXPUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:3.5928;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
