Alert ID,Ticker,Description,Time
260668658,"BINANCE:UNFIUSDTPERP, 5m",ticker:UNFIUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:13.297;timenow:2021-08-22T18:15:00Z,2021-08-22T18:15:00.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.24778;timenow:2021-08-22T18:10:00Z,2021-08-22T18:10:00.000Z
260668295,"BINANCE:OGNUSDTPERP, 5m",ticker:OGNUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.1625;timenow:2021-08-22T18:00:00Z,2021-08-22T18:00:00.000Z
260666910,"BINANCE:FILUSDTPERP, 5m",ticker:FILUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:76.118;timenow:2021-08-22T17:55:01Z,2021-08-22T17:55:01.000Z
260667760,"BINANCE:DODOUSDTPERP, 5m",ticker:DODOUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:2.189;timenow:2021-08-22T17:45:00Z,2021-08-22T17:45:00.000Z
260669205,"BINANCE:CVCUSDTPERP, 5m",ticker:CVCUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.35462;timenow:2021-08-22T17:25:02Z,2021-08-22T17:25:02.000Z
260668658,"BINANCE:UNFIUSDTPERP, 5m",ticker:UNFIUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:13.614;timenow:2021-08-22T17:15:01Z,2021-08-22T17:15:01.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.25449;timenow:2021-08-22T17:15:00Z,2021-08-22T17:15:00.000Z
260669182,"BINANCE:ONTUSDTPERP, 5m",ticker:ONTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.1157;timenow:2021-08-22T16:40:00Z,2021-08-22T16:40:00.000Z
260668845,"BINANCE:BELUSDTPERP, 5m",ticker:BELUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:2.4648;timenow:2021-08-22T16:35:01Z,2021-08-22T16:35:01.000Z
260668522,"BINANCE:KNCUSDTPERP, 5m",ticker:KNCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:2.09;timenow:2021-08-22T16:35:00Z,2021-08-22T16:35:00.000Z
260666910,"BINANCE:FILUSDTPERP, 5m",ticker:FILUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:77.05;timenow:2021-08-22T16:30:00Z,2021-08-22T16:30:00.000Z
260668235,"BINANCE:DASHUSDTPERP, 5m",ticker:DASHUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:240.18;timenow:2021-08-22T16:10:01Z,2021-08-22T16:10:01.000Z
260667920,"BINANCE:BZRXUSDTPERP, 5m",ticker:BZRXUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4185;timenow:2021-08-22T16:00:00Z,2021-08-22T16:00:00.000Z
260668777,"BINANCE:AKROUSDTPERP, 5m",ticker:AKROUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.03458;timenow:2021-08-22T15:45:01Z,2021-08-22T15:45:01.000Z
260668136,"BINANCE:BAKEUSDTPERP, 5m",ticker:BAKEUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:3.1125;timenow:2021-08-22T15:35:00Z,2021-08-22T15:35:00.000Z
260668394,"BINANCE:REEFUSDTPERP, 5m",ticker:REEFUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.024654;timenow:2021-08-22T14:55:00Z,2021-08-22T14:55:00.000Z
260668136,"BINANCE:BAKEUSDTPERP, 5m",ticker:BAKEUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:3.0069;timenow:2021-08-22T14:55:00Z,2021-08-22T14:55:00.000Z
260668522,"BINANCE:KNCUSDTPERP, 5m",ticker:KNCUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.033;timenow:2021-08-22T14:50:01Z,2021-08-22T14:50:01.000Z
260668261,"BINANCE:HNTUSDTPERP, 5m",ticker:HNTUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:23.617;timenow:2021-08-22T14:50:01Z,2021-08-22T14:50:01.000Z
260669155,"BINANCE:YFIUSDTPERP, 5m",ticker:YFIUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:39723;timenow:2021-08-22T14:50:01Z,2021-08-22T14:50:01.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.24949;timenow:2021-08-22T14:50:00Z,2021-08-22T14:50:00.000Z
260667760,"BINANCE:DODOUSDTPERP, 5m",ticker:DODOUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.143;timenow:2021-08-22T14:50:00Z,2021-08-22T14:50:00.000Z
260667646,"BINANCE:1000SHIBUSDTPERP, 5m",ticker:1000SHIBUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.008203;timenow:2021-08-22T14:50:00Z,2021-08-22T14:50:00.000Z
260668875,"BINANCE:ONEUSDTPERP, 5m",ticker:ONEUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.11502;timenow:2021-08-22T14:50:00Z,2021-08-22T14:50:00.000Z
