unix,date,symbol,price,amount,dollar_amount,type,trans_id
1577836850930,2020-01-01 00:00:50.930000,LINK/USDT,1.76780000,15.00000000,26.517,sell,8651602
1577836857459,2020-01-01 00:00:57.459000,LINK/USDT,1.76980000,16.41000000,29.042418,buy,8651603
1577836884072,2020-01-01 00:01:24.072000,LINK/USDT,1.77010000,205.27000000,363.348427,buy,8651606
1577836923340,2020-01-01 00:02:03.340000,LINK/USDT,1.76780000,19.37000000,34.242286,sell,8651608
1577837005499,2020-01-01 00:03:25.499000,LINK/USDT,1.76990000,10.00000000,17.699,buy,8651610
1577837058792,2020-01-01 00:04:18.792000,LINK/USDT,1.76990000,19.23000000,34.035177000000004,buy,8651611
1577837058849,2020-01-01 00:04:18.849000,LINK/USDT,1.77000000,84.86000000,150.2022,sell,8651612
1577837059085,2020-01-01 00:04:19.085000,LINK/USDT,1.77010000,146.19000000,258.770919,buy,8651613
1577837059205,2020-01-01 00:04:19.205000,LINK/USDT,1.77010000,9.10000000,16.10791,sell,8651614
1577837059342,2020-01-01 00:04:19.342000,LINK/USDT,1.77000000,12.84000000,22.7268,sell,8651617
1577837084787,2020-01-01 00:04:44.787000,LINK/USDT,1.76960000,9.80000000,17.342080000000003,buy,8651618
1577837085825,2020-01-01 00:04:45.825000,LINK/USDT,1.76800000,11.28000000,19.94304,sell,8651629
1577837127505,2020-01-01 00:05:27.505000,LINK/USDT,1.76830000,131.00000000,231.6473,sell,8651630
1577837127613,2020-01-01 00:05:27.613000,LINK/USDT,1.76840000,9.00000000,15.9156,sell,8651631
1577837191634,2020-01-01 00:06:31.634000,LINK/USDT,1.76830000,59.55000000,105.30226499999999,sell,8651632
1577837191658,2020-01-01 00:06:31.658000,LINK/USDT,1.76750000,1359.50000000,2402.91625,buy,8651642
1577837191710,2020-01-01 00:06:31.710000,LINK/USDT,1.76750000,21.38000000,37.78915,sell,8651643
1577837202369,2020-01-01 00:06:42.369000,LINK/USDT,1.76650000,12.14000000,21.44531,sell,8651646
1577837202383,2020-01-01 00:06:42.383000,LINK/USDT,1.76640000,9.86000000,17.416704,buy,8651647
1577837366086,2020-01-01 00:09:26.086000,LINK/USDT,1.76840000,1.78000000,3.147752,buy,8651648
1577837400949,2020-01-01 00:10:00.949000,LINK/USDT,1.76840000,9.00000000,15.9156,buy,8651649
1577837414224,2020-01-01 00:10:14.224000,LINK/USDT,1.76850000,87.00000000,153.8595,buy,8651650
1577837808739,2020-01-01 00:16:48.739000,LINK/USDT,1.76690000,9.00000000,15.902099999999999,buy,8651651
1577837897705,2020-01-01 00:18:17.705000,LINK/USDT,1.76560000,9.00000000,15.8904,sell,8651653
1577837918626,2020-01-01 00:18:38.626000,LINK/USDT,1.76630000,9.50000000,16.77985,buy,8651654
1577838063445,2020-01-01 00:21:03.445000,LINK/USDT,1.76440000,9.95000000,17.55578,sell,8651656
1577838063458,2020-01-01 00:21:03.458000,LINK/USDT,1.76280000,511.00000000,900.7908,buy,8651669
1577838063464,2020-01-01 00:21:03.464000,LINK/USDT,1.76280000,1927.02000000,3396.950856,buy,8651670
1577838066018,2020-01-01 00:21:06.018000,LINK/USDT,1.76520000,1.63000000,2.877276,buy,8651671
1577838074206,2020-01-01 00:21:14.206000,LINK/USDT,1.76540000,252.99000000,446.62854600000003,buy,8651672
1577838135329,2020-01-01 00:22:15.329000,LINK/USDT,1.76410000,1.93000000,3.404713,buy,8651673
1577838167159,2020-01-01 00:22:47.159000,LINK/USDT,1.76290000,9.00000000,15.8661,buy,8651674
1577838214687,2020-01-01 00:23:34.687000,LINK/USDT,1.76290000,0.95000000,1.6747549999999998,buy,8651675
1577838214801,2020-01-01 00:23:34.801000,LINK/USDT,1.76290000,12.00000000,21.154799999999998,buy,8651677
