https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,price,amount,dollar_amount,type,trans_id
1.57516E+12,00:01.2,NEO/USDT,9.312,43.14,401.71968,sell,21290029
1.57516E+12,00:03.9,NEO/USDT,9.312,10.554,98.278848,sell,21290030
1.57516E+12,00:04.4,NEO/USDT,9.312,2.119,19.732128,sell,21290032
1.57516E+12,00:18.3,NEO/USDT,9.301,3.445,32.041945,sell,21290033
1.57516E+12,00:35.7,NEO/USDT,9.298,6.591,61.283118,buy,21290035
1.57516E+12,01:05.5,NEO/USDT,9.308,218.291,2031.852628,buy,21290036
1.57516E+12,01:09.6,NEO/USDT,9.312,3.25,30.264,sell,21290042
1.57516E+12,01:19.0,NEO/USDT,9.315,6.5,60.5475,sell,21290043
1.57516E+12,03:25.6,NEO/USDT,9.326,10.689,99.685614,buy,21290044
1.57516E+12,05:26.3,NEO/USDT,9.301,4.34,40.36634,sell,21290046
1.57516E+12,05:26.6,NEO/USDT,9.301,41.333,384.438233,sell,21290047
1.57516E+12,05:27.6,NEO/USDT,9.3,42.16,392.088,sell,21290048
1.57516E+12,05:27.7,NEO/USDT,9.3,36.4,338.52,sell,21290049
1.57516E+12,06:10.6,NEO/USDT,9.308,1.075,10.0061,buy,21290050
1.57516E+12,06:20.2,NEO/USDT,9.308,8.925,83.0739,buy,21290051
1.57516E+12,06:30.3,NEO/USDT,9.316,5.376,50.082816,buy,21290052
1.57516E+12,09:19.0,NEO/USDT,9.297,2.84,26.40348,sell,21290053
1.57516E+12,09:53.7,NEO/USDT,9.297,2.5,23.2425,sell,21290054
1.57516E+12,11:26.9,NEO/USDT,9.294,1.95,18.1233,sell,21290055
1.57516E+12,11:48.6,NEO/USDT,9.294,0.002,0.018588,sell,21290056
1.57516E+12,12:59.2,NEO/USDT,9.28,8.925,82.824,sell,21290057
1.57516E+12,12:59.5,NEO/USDT,9.28,50.004,464.03712,buy,21290059
1.57516E+12,13:09.0,NEO/USDT,9.28,8.921,82.78688,buy,21290060
1.57516E+12,14:11.1,NEO/USDT,9.282,5.259,48.814038,buy,21290061
1.57516E+12,14:23.0,NEO/USDT,9.268,71,658.028,sell,21290062
1.57516E+12,14:57.3,NEO/USDT,9.268,22,203.896,sell,21290063
1.57516E+12,14:57.4,NEO/USDT,9.266,194.597,1803.135802,buy,21290067
1.57516E+12,14:57.5,NEO/USDT,9.266,24.5,227.017,buy,21290068
