unix,date,symbol,price,amount,dollar_amount,type,trans_id
1569888000249,2019-10-01 00:00:00.249000,NEO/USDT,7.60100000,1.62000000,12.31362,buy,20357007
1569888006297,2019-10-01 00:00:06.297000,NEO/USDT,7.60100000,0.00800000,0.060808,buy,20357008
1569888007432,2019-10-01 00:00:07.432000,NEO/USDT,7.60200000,8.02000000,60.96804,buy,20357009
1569888007563,2019-10-01 00:00:07.563000,NEO/USDT,7.60200000,0.00100000,0.007602,buy,20357010
1569888012125,2019-10-01 00:00:12.125000,NEO/USDT,7.60400000,26.95700000,204.981028,sell,20357011
1569888018013,2019-10-01 00:00:18.013000,NEO/USDT,7.61000000,2.63000000,20.0143,buy,20357012
1569888020394,2019-10-01 00:00:20.394000,NEO/USDT,7.61000000,0.00800000,0.060880000000000004,buy,20357013
1569888020577,2019-10-01 00:00:20.577000,NEO/USDT,7.61200000,1.33100000,10.131572,buy,20357014
1569888021728,2019-10-01 00:00:21.728000,NEO/USDT,7.61100000,12.50000000,95.1375,sell,20357015
1569888021927,2019-10-01 00:00:21.927000,NEO/USDT,7.61800000,12.88800000,98.180784,buy,20357016
1569888022015,2019-10-01 00:00:22.015000,NEO/USDT,7.61800000,87.11200000,663.6192159999999,buy,20357017
1569888023426,2019-10-01 00:00:23.426000,NEO/USDT,7.61100000,57.30800000,436.171188,sell,20357018
1569888025438,2019-10-01 00:00:25.438000,NEO/USDT,7.61100000,42.69200000,324.928812,sell,20357019
1569888025688,2019-10-01 00:00:25.688000,NEO/USDT,7.61100000,5.50000000,41.8605,sell,20357020
1569888025710,2019-10-01 00:00:25.710000,NEO/USDT,7.61100000,11.00000000,83.721,sell,20357021
1569888025729,2019-10-01 00:00:25.729000,NEO/USDT,7.61100000,5.50000000,41.8605,sell,20357022
1569888025752,2019-10-01 00:00:25.752000,NEO/USDT,7.61100000,11.00000000,83.721,sell,20357023
1569888025775,2019-10-01 00:00:25.775000,NEO/USDT,7.61100000,8.35400000,63.58229399999999,sell,20357024
1569888030096,2019-10-01 00:00:30.096000,NEO/USDT,7.61100000,13.41000000,102.06351,sell,20357025
1569888030934,2019-10-01 00:00:30.934000,NEO/USDT,7.61800000,1.32600000,10.101468,buy,20357026
1569888041712,2019-10-01 00:00:41.712000,NEO/USDT,7.61000000,10.65000000,81.04650000000001,sell,20357027
1569888047474,2019-10-01 00:00:47.474000,NEO/USDT,7.61800000,98.67400000,751.6985320000001,buy,20357028
1569888047495,2019-10-01 00:00:47.495000,NEO/USDT,7.64300000,159.13000000,1216.23059,sell,20357053
1569888047501,2019-10-01 00:00:47.501000,NEO/USDT,7.64200000,8.88700000,67.914454,sell,20357055
1569888047529,2019-10-01 00:00:47.529000,NEO/USDT,7.62100000,16.06000000,122.39326,sell,20357058
1569888047992,2019-10-01 00:00:47.992000,NEO/USDT,7.62200000,2.53900000,19.352258,sell,20357059
1569888048478,2019-10-01 00:00:48.478000,NEO/USDT,7.62200000,10.00000000,76.22,sell,20357060
1569888048570,2019-10-01 00:00:48.570000,NEO/USDT,7.63100000,4.39300000,33.522982999999996,buy,20357061
1569888048777,2019-10-01 00:00:48.777000,NEO/USDT,7.63300000,14.87900000,113.571407,sell,20357062
1569888048820,2019-10-01 00:00:48.820000,NEO/USDT,7.63300000,22.24900000,169.826617,sell,20357063
1569888048821,2019-10-01 00:00:48.821000,NEO/USDT,7.63300000,3.67700000,28.066541,sell,20357064
1569888048879,2019-10-01 00:00:48.879000,NEO/USDT,7.63300000,7.86000000,59.995380000000004,sell,20357065
1569888049938,2019-10-01 00:00:49.938000,NEO/USDT,7.63800000,10.86400000,82.97923200000001,buy,20357066
1569888050000,2019-10-01 00:00:50,NEO/USDT,7.63300000,3.86600000,29.509178000000002,sell,20357067
1569888050062,2019-10-01 00:00:50.062000,NEO/USDT,7.63300000,41.03000000,313.18199,sell,20357068
1569888050158,2019-10-01 00:00:50.158000,NEO/USDT,7.63300000,6.43000000,49.080189999999995,sell,20357069
1569888050247,2019-10-01 00:00:50.247000,NEO/USDT,7.63300000,0.00900000,0.068697,sell,20357070
1569888050304,2019-10-01 00:00:50.304000,NEO/USDT,7.63400000,21.42900000,163.588986,sell,20357071
1569888050333,2019-10-01 00:00:50.333000,NEO/USDT,7.63400000,9.90000000,75.5766,sell,20357072
1569888050774,2019-10-01 00:00:50.774000,NEO/USDT,7.63400000,12.15000000,92.7531,sell,20357073
1569888051031,2019-10-01 00:00:51.031000,NEO/USDT,7.63400000,56.52100000,431.481314,sell,20357074
1569888051073,2019-10-01 00:00:51.073000,NEO/USDT,7.63500000,50.00000000,381.75,sell,20357076
1569888051087,2019-10-01 00:00:51.087000,NEO/USDT,7.63500000,10.86400000,82.94664,sell,20357077
1569888051108,2019-10-01 00:00:51.108000,NEO/USDT,7.63500000,4.40000000,33.594,sell,20357078
1569888051202,2019-10-01 00:00:51.202000,NEO/USDT,7.63500000,7.94000000,60.621900000000004,sell,20357079
1569888051283,2019-10-01 00:00:51.283000,NEO/USDT,7.63500000,26.79000000,204.54164999999998,sell,20357080
1569888051296,2019-10-01 00:00:51.296000,NEO/USDT,7.63500000,0.00600000,0.04581,sell,20357081
1569888051380,2019-10-01 00:00:51.380000,NEO/USDT,7.63200000,53.00000000,404.496,sell,20357082
1569888051488,2019-10-01 00:00:51.488000,NEO/USDT,7.63200000,47.00000000,358.704,sell,20357083
1569888051597,2019-10-01 00:00:51.597000,NEO/USDT,7.63200000,51.09000000,389.91888,sell,20357084
1569888051700,2019-10-01 00:00:51.700000,NEO/USDT,7.63200000,48.91000000,373.28111999999993,sell,20357085
1569888051807,2019-10-01 00:00:51.807000,NEO/USDT,7.63100000,6.26000000,47.77006,sell,20357086
1569888051896,2019-10-01 00:00:51.896000,NEO/USDT,7.63600000,9.16300000,69.96866800000001,buy,20357087
1569888051983,2019-10-01 00:00:51.983000,NEO/USDT,7.63600000,1.32100000,10.087156,buy,20357088
1569888052013,2019-10-01 00:00:52.013000,NEO/USDT,7.63100000,0.00700000,0.053417000000000006,sell,20357089
1569888052047,2019-10-01 00:00:52.047000,NEO/USDT,7.62400000,54.95000000,418.9388,sell,20357091
1569888052314,2019-10-01 00:00:52.314000,NEO/USDT,7.62400000,44.70500000,340.83092,sell,20357092
1569888053669,2019-10-01 00:00:53.669000,NEO/USDT,7.62600000,2.02300000,15.427398000000002,sell,20357093
1569888053708,2019-10-01 00:00:53.708000,NEO/USDT,7.62600000,2.00600000,15.297756,sell,20357094
1569888054015,2019-10-01 00:00:54.015000,NEO/USDT,7.62600000,95.97100000,731.874846,sell,20357095
1569888054880,2019-10-01 00:00:54.880000,NEO/USDT,7.62100000,6.11900000,46.632899,sell,20357096
1569888055688,2019-10-01 00:00:55.688000,NEO/USDT,7.62100000,10.66000000,81.23986000000001,sell,20357097
1569888058292,2019-10-01 00:00:58.292000,NEO/USDT,7.62900000,4.37400000,33.369246,buy,20357098
1569888060450,2019-10-01 00:01:00.450000,NEO/USDT,7.62800000,10.65700000,81.291596,sell,20357101
1569888060517,2019-10-01 00:01:00.517000,NEO/USDT,7.62200000,5.26000000,40.091719999999995,sell,20357102
1569888061015,2019-10-01 00:01:01.015000,NEO/USDT,7.62200000,4.98500000,37.995670000000004,sell,20357103
1569888065315,2019-10-01 00:01:05.315000,NEO/USDT,7.63400000,6.54900000,49.99506600000001,buy,20357104
1569888067888,2019-10-01 00:01:07.888000,NEO/USDT,7.62200000,24.11000000,183.76641999999998,sell,20357105
1569888070460,2019-10-01 00:01:10.460000,NEO/USDT,7.63200000,9.88000000,75.40416,buy,20357106
1569888084051,2019-10-01 00:01:24.051000,NEO/USDT,7.63100000,38.80100000,296.090431,buy,20357107
1569888089040,2019-10-01 00:01:29.040000,NEO/USDT,7.62500000,100.00000000,762.5,sell,20357108
1569888090016,2019-10-01 00:01:30.016000,NEO/USDT,7.62200000,29.94400000,228.23316799999998,sell,20357110
1569888091608,2019-10-01 00:01:31.608000,NEO/USDT,7.62100000,370.00000000,2819.77,sell,20357119
1569888091624,2019-10-01 00:01:31.624000,NEO/USDT,7.62100000,210.00000000,1600.41,sell,20357120
1569888093710,2019-10-01 00:01:33.710000,NEO/USDT,7.62100000,1.51100000,11.515331,sell,20357121
1569888103349,2019-10-01 00:01:43.349000,NEO/USDT,7.62100000,5.08700000,38.768027000000004,sell,20357122
1569888106311,2019-10-01 00:01:46.311000,NEO/USDT,7.62300000,5.50000000,41.926500000000004,buy,20357123
1569888106313,2019-10-01 00:01:46.313000,NEO/USDT,7.62300000,5.50000000,41.926500000000004,buy,20357124
1569888106329,2019-10-01 00:01:46.329000,NEO/USDT,7.62300000,5.50000000,41.926500000000004,buy,20357125
1569888106338,2019-10-01 00:01:46.338000,NEO/USDT,7.62300000,16.50000000,125.7795,buy,20357126
1569888106347,2019-10-01 00:01:46.347000,NEO/USDT,7.62300000,11.00000000,83.85300000000001,buy,20357127
