unix,date,symbol,price,amount,dollar_amount,type,trans_id
1.57516E+12,00:03.3,LINK/USDT,2.236,4.5,10.062,sell,8066276
1.57516E+12,00:23.7,LINK/USDT,2.233,25.86,57.74538,sell,8066277
1.57516E+12,00:24.0,LINK/USDT,2.2359,214.7,480.04773,buy,8066280
1.57516E+12,00:25.2,LINK/USDT,2.2332,52.63,117.533316,sell,8066287
1.57516E+12,00:43.1,LINK/USDT,2.2332,17.48,39.036336,sell,8066288
1.57516E+12,00:52.6,LINK/USDT,2.2332,13.39,29.902548,sell,8066289
1.57516E+12,01:18.1,LINK/USDT,2.238,35,78.33,buy,8066290
1.57516E+12,02:03.3,LINK/USDT,2.2356,32,71.5392,sell,8066291
1.57516E+12,02:05.3,LINK/USDT,2.2356,7,15.6492,sell,8066292
1.57516E+12,02:05.6,LINK/USDT,2.2356,5,11.178,sell,8066293
1.57516E+12,02:07.3,LINK/USDT,2.2356,49,109.5444,sell,8066294
1.57516E+12,02:26.7,LINK/USDT,2.2356,0.53,1.184868,sell,8066295
1.57516E+12,02:33.9,LINK/USDT,2.2331,33.32,74.406892,sell,8066297
1.57516E+12,02:39.4,LINK/USDT,2.2351,50.7,113.31957,buy,8066298
1.57516E+12,03:19.8,LINK/USDT,2.2341,19,42.4479,sell,8066299
1.57516E+12,03:26.6,LINK/USDT,2.2366,217.39,486.214474,buy,8066300
1.57516E+12,03:26.8,LINK/USDT,2.2341,15,33.5115,sell,8066309
1.57516E+12,03:27.0,LINK/USDT,2.2345,7,15.6415,sell,8066310
1.57516E+12,03:38.0,LINK/USDT,2.2348,5,11.174,sell,8066311
1.57516E+12,04:49.2,LINK/USDT,2.2355,12,26.826,sell,8066312
1.57516E+12,04:59.3,LINK/USDT,2.2355,0.05,0.111775,sell,8066313
1.57516E+12,05:07.1,LINK/USDT,2.2341,103,230.1123,sell,8066315
1.57516E+12,05:08.9,LINK/USDT,2.2341,0.05,0.111705,sell,8066316
1.57516E+12,05:09.7,LINK/USDT,2.2333,53.93,120.441869,sell,8066319
1.57516E+12,05:14.6,LINK/USDT,2.2333,28,62.5324,sell,8066320
1.57516E+12,05:17.6,LINK/USDT,2.2333,0.25,0.558325,sell,8066321
1.57516E+12,05:17.6,LINK/USDT,2.2333,14.76,32.963508,sell,8066323
1.57516E+12,05:18.2,LINK/USDT,2.2327,400.5,894.19635,sell,8066325
1.57516E+12,05:25.0,LINK/USDT,2.2323,13,29.0199,sell,8066326
1.57516E+12,05:36.9,LINK/USDT,2.2323,107.51,239.994573,sell,8066327
1.57516E+12,05:37.6,LINK/USDT,2.2323,107.74,240.508002,sell,8066328
1.57516E+12,05:38.2,LINK/USDT,2.2323,108.55,242.316165,sell,8066329
1.57516E+12,05:39.2,LINK/USDT,2.2323,108.5,242.20455,sell,8066330
1.57516E+12,05:39.8,LINK/USDT,2.2323,107.35,239.637405,sell,8066331
1.57516E+12,05:40.5,LINK/USDT,2.2323,32.82,73.264086,sell,8066332
1.57516E+12,05:43.5,LINK/USDT,2.2333,18.41,41.115053,buy,8066333
1.57516E+12,05:43.8,LINK/USDT,2.2336,67,149.6512,buy,8066334
1.57516E+12,06:59.4,LINK/USDT,2.2323,666.14,1487.024322,sell,8066335
1.57516E+12,07:07.3,LINK/USDT,2.2342,219.58,490.585636,buy,8066336
1.57516E+12,07:07.4,LINK/USDT,2.2342,4.27,9.540034,sell,8066337
1.57516E+12,08:20.6,LINK/USDT,2.2324,127.65,284.96586,sell,8066338
1.57516E+12,08:39.1,LINK/USDT,2.2321,5,11.1605,sell,8066349
1.57516E+12,09:16.8,LINK/USDT,2.232,18,40.176,sell,8066350
1.57516E+12,09:17.0,LINK/USDT,2.232,1386.08,3093.73056,sell,8066351
1.57516E+12,09:26.2,LINK/USDT,2.2302,33.61,74.957022,sell,8066353
1.57516E+12,09:35.2,LINK/USDT,2.2311,31,69.1641,buy,8066355
1.57516E+12,10:24.5,LINK/USDT,2.2298,37,82.5026,sell,8066356
1.57516E+12,10:47.2,LINK/USDT,2.2297,24.07,53.668879,buy,8066357
1.57516E+12,10:47.2,LINK/USDT,2.2297,30.93,68.964621,buy,8066358
1.57516E+12,10:48.3,LINK/USDT,2.2299,95,211.8405,buy,8066359
1.57516E+12,11:20.7,LINK/USDT,2.2302,68,151.6536,buy,8066360
1.57516E+12,11:43.2,LINK/USDT,2.2294,16.14,35.982516,sell,8066363
1.57516E+12,12:20.6,LINK/USDT,2.2293,78,173.8854,sell,8066365
1.57516E+12,12:34.2,LINK/USDT,2.2288,101.5,226.2232,sell,8066366
1.57516E+12,12:34.3,LINK/USDT,2.2288,57,127.0416,sell,8066367
1.57516E+12,12:34.3,LINK/USDT,2.2288,0.73,1.627024,sell,8066368
1.57516E+12,12:34.4,LINK/USDT,2.2286,112,249.6032,sell,8066369
1.57516E+12,12:34.5,LINK/USDT,2.2286,0.18,0.401148,sell,8066370
1.57516E+12,12:34.5,LINK/USDT,2.2285,354.94,790.98379,sell,8066372
1.57516E+12,12:34.5,LINK/USDT,2.2285,206.93,461.143505,sell,8066373
1.57516E+12,12:34.5,LINK/USDT,2.2283,47.08,104.908364,sell,8066374
1.57516E+12,12:34.6,LINK/USDT,2.2283,6,13.3698,sell,8066375
1.57516E+12,12:34.6,LINK/USDT,2.2284,112.19,250.004196,sell,8066376
1.57516E+12,12:34.7,LINK/USDT,2.2283,0.72,1.604376,sell,8066377
1.57516E+12,12:34.7,LINK/USDT,2.2278,26,57.9228,sell,8066379
1.57516E+12,12:35.4,LINK/USDT,2.2271,5.56,12.382676,sell,8066380
1.57516E+12,12:50.5,LINK/USDT,2.2283,208.37,464.310871,buy,8066384
1.57516E+12,12:50.6,LINK/USDT,2.2283,109.19,243.308077,buy,8066385
1.57516E+12,12:50.9,LINK/USDT,2.2283,57.21,127.481043,buy,8066386
1.57516E+12,12:51.0,LINK/USDT,2.2283,29.98,66.804434,buy,8066387
1.57516E+12,12:51.1,LINK/USDT,2.2283,15.71,35.006593,buy,8066388
1.57516E+12,12/1/2019 0:12,LINK/USDT,2.227,74.69,166.33463,sell,8066389
1.57516E+12,12:57.1,LINK/USDT,2.2283,43.78,97.554974,buy,8066390
1.57516E+12,12:57.2,LINK/USDT,2.2283,22.94,51.117202,buy,8066391
1.57516E+12,12:57.4,LINK/USDT,2.2283,12.02,26.784166,buy,8066392
1.57516E+12,13:02.1,LINK/USDT,2.2281,42.55,94.805655,buy,8066393
1.57516E+12,13:02.3,LINK/USDT,2.2282,42.55,94.80991,buy,8066395
1.57516E+12,13:04.4,LINK/USDT,2.2283,46.45,103.504535,buy,8066396
1.57516E+12,13:05.3,LINK/USDT,2.2258,221,491.9018,sell,8066397
1.57516E+12,13:06.4,LINK/USDT,2.2258,0.05,0.11129,sell,8066398
