unix,date,symbol,price,amount,dollar_amount,type,trans_id
1567296010518,2019-09-01 00:00:10.518000,LINK/USDT,1.77880000,18.00000000,32.0184,sell,5212201
1567296010642,2019-09-01 00:00:10.642000,LINK/USDT,1.77880000,23.00000000,40.9124,sell,5212202
1567296016123,2019-09-01 00:00:16.123000,LINK/USDT,1.77880000,11.00000000,19.5668,sell,5212203
1567296016549,2019-09-01 00:00:16.549000,LINK/USDT,1.77880000,16.00000000,28.4608,sell,5212204
1567296016658,2019-09-01 00:00:16.658000,LINK/USDT,1.77880000,20.00000000,35.576,sell,5212205
1567296023541,2019-09-01 00:00:23.541000,LINK/USDT,1.77880000,11.00000000,19.5668,sell,5212206
1567296024606,2019-09-01 00:00:24.606000,LINK/USDT,1.77880000,22.00000000,39.1336,sell,5212207
1567296024795,2019-09-01 00:00:24.795000,LINK/USDT,1.77880000,15.00000000,26.682,sell,5212208
1567296024888,2019-09-01 00:00:24.888000,LINK/USDT,1.77880000,15.00000000,26.682,sell,5212209
1567296025109,2019-09-01 00:00:25.109000,LINK/USDT,1.77880000,15.00000000,26.682,sell,5212210
1567296025558,2019-09-01 00:00:25.558000,LINK/USDT,1.77880000,1293.30000000,2300.52204,sell,5212211
1567296027665,2019-09-01 00:00:27.665000,LINK/USDT,1.77830000,11.00000000,19.5613,sell,5212212
1567296028700,2019-09-01 00:00:28.700000,LINK/USDT,1.77830000,11.00000000,19.5613,sell,5212213
1567296061246,2019-09-01 00:01:01.246000,LINK/USDT,1.77730000,11.23000000,19.959079000000003,sell,5212214
1567296285816,2019-09-01 00:04:45.816000,LINK/USDT,1.77910000,11.00000000,19.5701,buy,5212217
1567296291597,2019-09-01 00:04:51.597000,LINK/USDT,1.77990000,11.00000000,19.5789,buy,5212218
1567296332544,2019-09-01 00:05:32.544000,LINK/USDT,1.77990000,0.23000000,0.40937700000000005,buy,5212219
1567296389433,2019-09-01 00:06:29.433000,LINK/USDT,1.77850000,11.00000000,19.5635,sell,5212223
1567296481923,2019-09-01 00:08:01.923000,LINK/USDT,1.77870000,11.00000000,19.5657,sell,5212224
1567296561767,2019-09-01 00:09:21.767000,LINK/USDT,1.78080000,11.00000000,19.5888,buy,5212225
1567296562093,2019-09-01 00:09:22.093000,LINK/USDT,1.78090000,75.18000000,133.88806200000002,sell,5212227
1567296562114,2019-09-01 00:09:22.114000,LINK/USDT,1.77870000,0.23000000,0.409101,sell,5212228
1567296602718,2019-09-01 00:10:02.718000,LINK/USDT,1.77860000,11.00000000,19.5646,sell,5212230
1567296605690,2019-09-01 00:10:05.690000,LINK/USDT,1.77970000,8.00000000,14.2376,sell,5212231
1567296638588,2019-09-01 00:10:38.588000,LINK/USDT,1.78090000,11.00000000,19.5899,buy,5212232
1567296706589,2019-09-01 00:11:46.589000,LINK/USDT,1.78090000,178.15000000,317.267335,buy,5212237
1567296707286,2019-09-01 00:11:47.286000,LINK/USDT,1.78090000,67.46000000,120.13951399999998,sell,5212238
1567296713902,2019-09-01 00:11:53.902000,LINK/USDT,1.78100000,29.12000000,51.862719999999996,buy,5212239
1567296721201,2019-09-01 00:12:01.201000,LINK/USDT,1.78090000,8.68000000,15.458212,sell,5212248
1567296744452,2019-09-01 00:12:24.452000,LINK/USDT,1.78090000,245.71000000,437.584939,sell,5212249
1567296762483,2019-09-01 00:12:42.483000,LINK/USDT,1.78020000,9.68000000,17.232336,sell,5212253
1567296764337,2019-09-01 00:12:44.337000,LINK/USDT,1.78010000,121.78000000,216.780578,sell,5212254
1567296790346,2019-09-01 00:13:10.346000,LINK/USDT,1.78020000,111.00000000,197.6022,sell,5212255
1567296790443,2019-09-01 00:13:10.443000,LINK/USDT,1.78020000,57.00000000,101.4714,sell,5212256
1567296791171,2019-09-01 00:13:11.171000,LINK/USDT,1.78100000,93.00000000,165.63299999999998,sell,5212257
1567296868592,2019-09-01 00:14:28.592000,LINK/USDT,1.78010000,11.00000000,19.5811,sell,5212258
1567296942795,2019-09-01 00:15:42.795000,LINK/USDT,1.78110000,11.46000000,20.411406,buy,5212259
1567296997628,2019-09-01 00:16:37.628000,LINK/USDT,1.78270000,39.97000000,71.254519,buy,5212263
1567297112860,2019-09-01 00:18:32.860000,LINK/USDT,1.78270000,89.63000000,159.783401,buy,5212265
1567297112863,2019-09-01 00:18:32.863000,LINK/USDT,1.78270000,89.63000000,159.783401,buy,5212266
1567297160848,2019-09-01 00:19:20.848000,LINK/USDT,1.78270000,63.00000000,112.31009999999999,sell,5212271
1567297206420,2019-09-01 00:20:06.420000,LINK/USDT,1.78280000,8.41000000,14.993348,buy,5212272
1567297222889,2019-09-01 00:20:22.889000,LINK/USDT,1.78280000,538.67000000,960.3408759999999,buy,5212273
1567297249644,2019-09-01 00:20:49.644000,LINK/USDT,1.78280000,290.60000000,518.08168,buy,5212274
1567297267090,2019-09-01 00:21:07.090000,LINK/USDT,1.78280000,202.36000000,360.767408,buy,5212275
1567297267093,2019-09-01 00:21:07.093000,LINK/USDT,1.78280000,197.72000000,352.49521599999997,buy,5212276
1567297267533,2019-09-01 00:21:07.533000,LINK/USDT,1.78280000,1130.29000000,2015.0810119999999,buy,5212277
1567297273519,2019-09-01 00:21:13.519000,LINK/USDT,1.78280000,6.37000000,11.356436,sell,5212278
1567297296160,2019-09-01 00:21:36.160000,LINK/USDT,1.78280000,363.34000000,647.7625519999999,sell,5212279
1567297300010,2019-09-01 00:21:40.010000,LINK/USDT,1.78280000,3925.85000000,6999.00538,buy,5212280
1567297300163,2019-09-01 00:21:40.163000,LINK/USDT,1.78400000,153.00000000,272.952,sell,5212281
1567297300372,2019-09-01 00:21:40.372000,LINK/USDT,1.78400000,62.00000000,110.608,sell,5212282
1567297300477,2019-09-01 00:21:40.477000,LINK/USDT,1.78400000,96.00000000,171.264,sell,5212283
1567297301401,2019-09-01 00:21:41.401000,LINK/USDT,1.78410000,11.19000000,19.964078999999998,sell,5212284
1567297393472,2019-09-01 00:23:13.472000,LINK/USDT,1.78540000,35.00000000,62.489000000000004,sell,5212286
1567297469657,2019-09-01 00:24:29.657000,LINK/USDT,1.78560000,76.62000000,136.81267200000002,sell,5212287
1567297497722,2019-09-01 00:24:57.722000,LINK/USDT,1.78600000,201.00000000,358.986,sell,5212288
1567297508597,2019-09-01 00:25:08.597000,LINK/USDT,1.78660000,11.19000000,19.992054,buy,5212289
1567297510135,2019-09-01 00:25:10.135000,LINK/USDT,1.78560000,15.27000000,27.266112,sell,5212291
1567297514023,2019-09-01 00:25:14.023000,LINK/USDT,1.78560000,0.45000000,0.80352,sell,5212293
1567297555596,2019-09-01 00:25:55.596000,LINK/USDT,1.78580000,150.47000000,268.70932600000003,sell,5212295
1567297710396,2019-09-01 00:28:30.396000,LINK/USDT,1.78790000,10.00000000,17.879,buy,5212297
1567297719947,2019-09-01 00:28:39.947000,LINK/USDT,1.78640000,16.14000000,28.832496000000003,sell,5212298
1567297734547,2019-09-01 00:28:54.547000,LINK/USDT,1.78640000,99.17000000,177.157288,sell,5212299
1567297739495,2019-09-01 00:28:59.495000,LINK/USDT,1.78740000,174.52000000,311.93704800000006,sell,5212301
1567297771981,2019-09-01 00:29:31.981000,LINK/USDT,1.78770000,50.17000000,89.68890900000001,sell,5212308
1567297782853,2019-09-01 00:29:42.853000,LINK/USDT,1.78790000,0.73000000,1.305167,buy,5212309
1567297793254,2019-09-01 00:29:53.254000,LINK/USDT,1.78820000,145.13000000,259.521466,buy,5212311
1567297799126,2019-09-01 00:29:59.126000,LINK/USDT,1.78820000,10.00000000,17.882,sell,5212321
1567297851991,2019-09-01 00:30:51.991000,LINK/USDT,1.78960000,8.00000000,14.3168,sell,5212322
1567297854901,2019-09-01 00:30:54.901000,LINK/USDT,1.79020000,57.20000000,102.39944000000001,buy,5212324
1567297876492,2019-09-01 00:31:16.492000,LINK/USDT,1.79090000,16.00000000,28.6544,buy,5212325
1567297893259,2019-09-01 00:31:33.259000,LINK/USDT,1.79090000,0.50000000,0.89545,buy,5212326
1567297897683,2019-09-01 00:31:37.683000,LINK/USDT,1.79130000,22.90000000,41.02076999999999,buy,5212327
1567297910451,2019-09-01 00:31:50.451000,LINK/USDT,1.79170000,8.40000000,15.05028,buy,5212328
1567297910500,2019-09-01 00:31:50.500000,LINK/USDT,1.79370000,38.47000000,69.003639,sell,5212336
1567297910585,2019-09-01 00:31:50.585000,LINK/USDT,1.79370000,20.00000000,35.874,sell,5212337
1567297910609,2019-09-01 00:31:50.609000,LINK/USDT,1.79370000,32.32000000,57.972384000000005,sell,5212338
1567297910679,2019-09-01 00:31:50.679000,LINK/USDT,1.79370000,881.00000000,1580.2497,sell,5212339
1567297910777,2019-09-01 00:31:50.777000,LINK/USDT,1.79380000,63.00000000,113.0094,sell,5212340
1567297910888,2019-09-01 00:31:50.888000,LINK/USDT,1.79370000,19.00000000,34.0803,sell,5212341
1567297910974,2019-09-01 00:31:50.974000,LINK/USDT,1.79370000,25.00000000,44.8425,sell,5212342
1567297912481,2019-09-01 00:31:52.481000,LINK/USDT,1.79380000,10.71000000,19.211598000000002,sell,5212343
1567297920217,2019-09-01 00:32:00.217000,LINK/USDT,1.79380000,37.82000000,67.841516,sell,5212344
1567297947919,2019-09-01 00:32:27.919000,LINK/USDT,1.79350000,8.37000000,15.011595,sell,5212346
