Leverage,Ratio,Risk,Max Steps,Percent Of max range,Total Trades,Profit,Balance Min,Balance Max,Max Step,Actions
125,5,16,4,20,12822,1.6389073879936002e+24,84.26157828249733,1.664072460275529e+24,4,
100,5,16,4,10,15920,2.5618670947074176e+23,81.08531065773657,2.5618670947074166e+23,4,
75,5,16,4,10,8295,1.2339505608059956e+23,85.43913565334597,1.2471127144963086e+23,4,
125,5,16,4,30,7468,5.822744530481031e+21,85.61009334645762,5.957892625862342e+21,4,
125,4.5,17,4,20,13819,3.314711894136412e+21,84.73720781715105,3.362571435176636e+21,4,
100,5,16,4,20,6579,3.0981050778602056e+21,88.44945554933092,3.178375122584126e+21,4,
100,4.5,17,4,10,17193,1.788089349126158e+21,82.10196382590922,1.798775631339415e+21,4,
75,4.5,17,4,10,9025,808393612754782000000,85.66522585534042,816504170473189400000,4,
125,4.5,17,4,30,8302,723101076767088700000,85.92083672414094,730899719844856500000,4,
125,5,21,5,20,12681,256855149064178730000,84.83670300459852,259849122141994250000,5,
100,5,21,5,10,15764,141112124743241920000,82.5065345567322,141112124743241990000,5,
100,4.5,17,4,20,7219,118185350646681730000,84.00378856087337,121062952298086430000,4,
75,5,21,5,10,8274,29647591252539050000,89.05795821718104,29887926642939430000,5,
75,4,18,4,10,10061,19968466859392745000,85.87217249341577,20157573588173234000,4,
125,4,18,4,30,9107,15361121567309883000,86.03491929551073,15517493657655953000,4,
125,4,18,4,20,15018,14552099610015259000,85.14408042251762,14552099610015255000,4,
125,5,21,5,30,7419,7669181899955249000,89.11780971047112,7804059085289675000,5,
125,5,16,4,10,31914,6601364938533940000,81.14984599108709,6626413267837892000,4,
125,5,16,4,40,5198,5988194209182974000,93.752,6080085202833803000,4,
100,4,18,4,20,8061,5165687840449832000,84.4737308329843,5224298198456785000,4,
100,4,18,4,10,18829,4623473479373689000,82.98604865661851,4649561314393623000,4,
125,4.5,23,5,20,13682,1942573425705452000,85.83828006388187,1963226682432885000,5,
125,4.5,17,4,40,5778,811590179097097000,93.1850380538278,835369854612218200,4,
100,5,21,5,20,6569,802046740738096400,91.3884525314563,817782468597720800,5,
75,4.5,23,5,10,8931,385582675096902400,89.64500412636481,388434555146634100,5,
50,5,16,4,10,3788,384946289560024100,83.72203212373665,384946289560024260,4,
125,4,18,4,40,6388,342098735921479550,89.39340365503833,351550016673928450,4,
100,4.5,23,5,10,17068,277457636759470080,83.96096781429623,278681347101389280,5,
100,5,16,4,30,3853,158575567544169630,83.71545834220026,158575567544169660,4,
125,4.5,23,5,30,8239,132101290935435500,89.86640909044333,133151384558278300,5,
75,3.5,21,4,10,11119,110302992230112260,84.9164349391468,110302992230112370,4,
50,4.5,17,4,10,4175,61856046929484220,81.47956475907405,61856046929484340,4,
75,5,16,4,20,3287,60144234032162050,80.52161575737549,60144234032162160,4,
100,4.5,17,4,30,4216,50434873333824350,84.03128294411533,50434873333824460,4,
125,4.5,17,4,10,34577,30007329755054212,82.2095202846148,30114468488985970,4,
125,5,21,5,10,31527,22997495813950732,82.8311288586641,23063921198875280,5,
